OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
20444,2021,FAIRWAY APARTMENT,Multifamily LR (1-4),952008240,4511 35TH AVE SW,SEATTLE,WA,98126,47.56245,-122.37658,SOUTHWEST,1,1963,4,1,29351,25891,3460,93,22.29999924,22.60000038,585013,577644,62.5,63.29999924,Multifamily LR (1-4),Multifamily Housing,25891,Parking,0,NA,,171457,0,0,Compliant,No Issue,585013,0,2.4,0.1
20445,2021,Brookdale West Seattle,Multifamily MR (5-9),952008285,4611 35TH AVE SW,SEATTLE,WA,98126,47.56162,-122.37655,SOUTHWEST,1,2003,7,1,106976,85990,20986,92,36.79999924,37.09999847,3634307,3605878,88.30000305,89.19999695,Multifamily MR (5-9),Multifamily Housing,52514,Senior Living Community,45545,Parking,20986,825199,0,8187,Compliant,No Issue,2815580,818727,55.1,0.6
20447,2021,ADELPHI APTS,Multifamily LR (1-4),955000005,230 23RD AVE E,SEATTLE,WA,98112,47.62117,-122.30226,SHARED: CENTRAL & EAST,3,1920,3,1,25475,25475,0,81,48.29999924,48.90000153,1245367,1230554,65.69999695,66.30000305,Multifamily LR (1-4),Multifamily Housing,25475,NA,,NA,,63892,0,10274,Compliant,No Issue,218001,1027366,55.5,2.2
20452,2021,ELIZABETH JAMES HOUSE,Multifamily LR (1-4),955000480,109 23RD AVE E,SEATTLE,WA,98112,47.61971,-122.30287,SHARED: CENTRAL & EAST,3,1968,3,1,40779,40779,0,87,27.79999924,28,1141487,1131834,77.69999695,78.40000153,Multifamily LR (1-4),Multifamily Housing,40779,Parking,0,NA,,334551,0,0,Compliant,No Issue,1141487,0,4.7,0.1
20456,2021,THE PARKER APTS,Multifamily LR (1-4),976000335,2701 3RD AVE W,SEATTLE,WA,98119,47.64425,-122.36125,MAGNOLIA / QUEEN ANNE,7,1965,3,1,38328,38328,0,63,40,40.70000076,1253779,1233175,112.0999985,113.9000015,Multifamily LR (1-4),Multifamily Housing,30810,Parking,4000,NA,,367462,0,0,Compliant,No Issue,1253779,0,5.2,0.1
20470,2021,LAKE CITY CENTER,NonResidential,1453600540,12701 LAKE CITY WAY NE,SEATTLE,WA,98125,47.72178,-122.29498,NORTH,1,1979,1,1,39350,39350,0,,31.79999924,32.09999847,1323509,1308666,43.5,43.90000153,Mixed Use Property,Supermarket/Grocery Store,19271,Retail Store,19249,Food Service,2663,70001,0,10847,Compliant,No Issue,238842,1084667,58.6,1.5
20472,2021,CEDAR PARK APARTMENTS,Multifamily MR (5-9),1453600660,12740 30TH AVE NE,SEATTLE,WA,98125,47.72235,-122.29584,NORTH,1,2008,6,1,193691,159277,34414,97,35.29999924,35.59999847,5667054,5629454,79.09999847,79.80000305,Multifamily MR (5-9),Multifamily Housing,159277,Parking,34414,NA,,1132541,0,18028,Compliant,No Issue,3864230,1802824,111.7,0.7
20474,2021,CASCADE BUILDING,NonResidential,1453600740,12535 LAKE CITY WAY NE,SEATTLE,WA,98125,47.72032,-122.29507,NORTH,5,1949,1,1,22405,22405,0,,152.5,152.5,3278218,3278218,235.1000061,235.1000061,Other,Other,11000,Retail Store,10500,NA,,270138,0,23565,Compliant,No Issue,921710,2356508,129,5.8
20480,2021,LAKE CITY HOUSE,Multifamily MR (5-9),1453601041,12546 33RD AVE NE,SEATTLE,WA,98125,47.72082,-122.29195,NORTH,5,1971,7,1,86283,86283,0,62,44.59999847,44.20000076,3817203,3845978,109,108.1999969,Multifamily MR (5-9),Multifamily Housing,86283,NA,,NA,,891644,0,7749,Compliant,No Issue,3042288,774915,53.7,0.6
20484,2021,CITY NORTH APTS (FORMERLY REKHI BUILDING),Multifamily MR (5-9),1453601220,12508 LAKE CITY WAY NE,SEATTLE,WA,98125,47.71951,-122.29477,NORTH,1,2001,6,1,57775,46489,11286,,26.5,26.70000076,2348506,2332776,74.09999847,74.59999847,Multifamily MR (5-9),Multifamily Housing,71073,Retail Store,17043,Parking,11286,688308,0,0,Compliant,No Issue,2348506,0,9.7,0.2
20490,2021,SOLARA APTS,Multifamily MR (5-9),1453601380,12736 LAKE CITY WAY NE,SEATTLE,WA,98125,47.72226,-122.29316,NORTH,1,2001,5,3,320739,227479,93260,93,45.59999847,45.40000153,10071724,10109568,87.40000153,87.19999695,Multifamily MR (5-9),Multifamily Housing,215810,Parking,93260,Retail Store,5868,1465278,0,50722,Compliant,No Issue,4999529,5072196,290.1,1.3
20493,2021,SPRING LAKE APTS,Multifamily LR (1-4),1453602441,12528 35TH AVE NE,SEATTLE,WA,98125,47.72008,-122.29031,NORTH,1,1986,3,3,67624,50567,17057,77,32.5,32.79999924,1621571,1607285,91.09999847,91.90000153,Multifamily LR (1-4),Multifamily Housing,49385,Parking,8960,NA,,475255,0,0,Compliant,No Issue,1621571,0,6.7,0.1
20494,2021,CEDAR PARK ELEMENTARY (SPS-DISTRICT),SPS-District K-12,1454100350,13224 37TH AVE NE,SEATTLE,WA,98125,47.72606,-122.28747,NORTH,5,2013,1,1,32590,32590,0,70,48.5,48.79999924,1764115,1755546,76.09999847,76.40000153,K-12 School,K-12 School,36183,NA,,NA,,152478,0,12439,Compliant,No Issue,520255,1243860,68.2,2.1
20496,2021,CEDAR POINTE OF SEATTLE CONDOMINIUM,Multifamily LR (1-4),1459950000,750 N 143RD ST,SEATTLE,WA,98133,47.73279,-122.34851,NORTHWEST,5,1978,4,1,73234,73234,0,87,24.60000038,25,1827663,1799591,68.80000305,69.90000153,Multifamily LR (1-4),Multifamily Housing,73234,NA,,NA,,535657,0,0,Compliant,No Issue,1827663,0,7.6,0.1
20497,2021,CEDARS APARTMENTS (BELLTOWN),Multifamily MR (5-9),1472350000,2615 1ST AVE,SEATTLE,WA,98121,47.61543,-122.35074,DOWNTOWN,7,1988,5,1,145018,132358,12660,74,32.59999847,32.90000153,1964884,1948015,85.59999847,86.30000305,Multifamily MR (5-9),Multifamily Housing,54168,Parking,12660,Restaurant,5515,517021,0,2008,Compliant,No Issue,1764074,200810,18,0.1
20500,2021,CENTRAL PARK,NonResidential,1486300005,700 S HOMER ST,SEATTLE,WA,98108,47.552,-122.32262,GREATER DUWAMISH,1,1985,1,2,61419,61419,0,,38.90000153,40,2458734,2388098,88.90000153,91.5,Office,Office,45212,Manufacturing/Industrial Plant,11784,Non-Refrigerated Warehouse,4423,508442,0,7239,Compliant,No Issue,1734805,723929,45.6,0.7
20503,2021,SEATTLE CHILDREN'S HOSPITAL  (ODESSA BROWN CHILDREN'S CLINIC),NonResidential,1493600000,2101 E YESLER WAY,SEATTLE,WA,98122,47.60132,-122.30477,CENTRAL,3,1990,2,1,39000,39000,0,58,58.40000153,58.5,2282784,2276515,147.8000031,147.8999939,Medical Office,Medical Office,39000,NA,,NA,,564822,0,3556,Compliant,No Issue,1927174,355610,26.9,0.7
20506,2021,NW ART AND FRAME/HUSKY ICE CREAM,NonResidential,1495300045,4721 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.56018,-122.38716,SOUTHWEST,1,1924,1,1,22180,22180,0,,197.8000031,198.8000031,4409190,4387514,385,386.1000061,Other - Mall,Other - Mall,14000,Restaurant,8180,NA,,658700,0,21617,Compliant,No Issue,2247485,2161705,124.1,5.6
20509,2021,APARTMENT & OFFICE/RETAIL BLDG,Multifamily LR (1-4),1495300325,4739 44TH AVE SW,SEATTLE,WA,98116,47.56001,-122.38856,SOUTHWEST,1,2007,4,1,28560,22960,5600,,51.59999847,52.29999924,921348,909828,84,84.69999695,Multifamily LR (1-4),Multifamily Housing,15418,Parking,5538,Office,2213,88162,0,6205,Compliant,No Issue,300807,620541,34.2,1.5
20512,2021,CENTRAL PARK EAST CONDOMINIUM,Multifamily LR (1-4),1496130000,2001 E YESLER WAY,SEATTLE,WA,98122,47.60109,-122.30551,CENTRAL,3,1980,3,1,52166,52166,0,55,30.89999962,31.39999962,1363651,1343987,86.5,87.80000305,Multifamily LR (1-4),Multifamily Housing,43490,NA,,NA,,399663,0,0,Compliant,No Issue,1363651,0,5.6,0.1
20515,2021,BEACON HILL SCHOOL (SPS-DISTRICT),SPS-District K-12,1498300850,2025 14TH AVE S,SEATTLE,WA,98144,47.58547,-122.3151,GREATER DUWAMISH,1,1971,1,1,51704,51704,0,71,40.20000076,41,2119614,2080179,70.90000153,71.69999695,K-12 School,K-12 School,51704,NA,,NA,,247844,0,12740,Compliant,No Issue,845644,1273970,71.2,1.4
20519,2021,2001 Plum LLC,NonResidential,1498302035,2001 S PLUM ST,SEATTLE,WA,98144,47.58513,-122.30645,GREATER DUWAMISH,2,1969,1,1,25920,25920,0,13,55.40000153,55.59999847,1441567,1436820,131.1000061,131.3999939,Distribution Center,Distribution Center,19277,Refrigerated Warehouse,4051,Office,2592,317022,0,3599,Compliant,No Issue,1081681,359886,23.6,0.9
20520,2021,ORIENTAL MEATS,NonResidential,1498302080,2001 21ST AVE S,SEATTLE,WA,98144,47.58528,-122.30595,GREATER DUWAMISH,2,1953,1,1,25480,25480,0,,36.70000076,36.90000153,940943,934220,102.6999969,103.4000015,Refrigerated Warehouse,Refrigerated Warehouse,25480,NA,,NA,,275775,0,0,Compliant,No Issue,940943,0,3.9,0.2
20522,2021,MB WAREHOUSE LLC,NonResidential,1498302235,2028 21ST AVE S,SEATTLE,WA,98144,47.58482,-122.30501,GREATER DUWAMISH,2,1970,2,1,31000,31000,0,,,,,,,,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31000,NA,,NA,,,,,Not Compliant,Missing 2021 EUI or Electricity Data,530110,0,0,0
20523,2021,IMPRESSIONS NORTHWEST,NonResidential,1498302245,2001 22ND AVE S,SEATTLE,WA,98144,47.58528,-122.305,GREATER DUWAMISH,2,1961,1,1,29740,29740,0,57,38.5,39.20000076,1164780,1145145,103.5999985,105.1999969,Office,Office,18644,Non-Refrigerated Warehouse,11096,NA,,319178,0,757,Compliant,No Issue,1089034,75746,8.5,0.3
20526,2021,FAMILY SERVICES,NonResidential,1498302455,1900 RAINIER AVE S,SEATTLE,WA,98144,47.58579,-122.3034,SOUTHEAST,2,2009,3,1,38075,38075,0,,53.09999847,52.79999924,2008944,2023106,143.6000061,142.6000061,Office,Office,29035,K-12 School,6213,Retail Store,2825,556017,0,1118,Compliant,No Issue,1897130,111813,13.8,0.4
20529,2021,CENTER PARK APTS,Multifamily MR (5-9),1498303190,2100 25TH AVE S,SEATTLE,WA,98144,47.58421,-122.29978,SOUTHEAST,3,1969,7,1,139530,111176,28354,67,39.29999924,39.40000153,4384416,4367341,110,110.4000015,Multifamily MR (5-9),Multifamily Housing,111176,Parking,28354,NA,,1284999,0,0,Not Compliant,Account Requires Verification,4384417,0,18.1,0.2
20531,2021,RED CROSS,NonResidential,1498303300,1900 25TH AVE S,SEATTLE,WA,98144,47.5859,-122.29957,SOUTHEAST,3,1970,2,1,39170,39170,0,63,82.59999847,81.59999847,2897886,2932347,119.0999985,118.0999985,Office,Office,35500,NA,,NA,,192418,0,22414,Compliant,No Issue,656531,2241356,121.8,3.1
20532,2021,TENNIS CENTER,Nonresidential COS,1498303565,2000 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98144,47.58476,-122.29765,SOUTHEAST,3,1977,1,1,36070,36070,0,,13.39999962,13.19999981,880739,889960,37.40000153,37,Other - Recreation,Other - Recreation,66597,NA,,NA,,258130,0,0,Compliant,No Issue,880739,0,3.6,0.1
20534,2021,CENTRE COURT,Multifamily MR (5-9),1499000000,116 WARREN AVE N,SEATTLE,WA,98109,47.61911,-122.35377,MAGNOLIA / QUEEN ANNE,7,2002,5,1,34542,25514,9028,,42.90000153,43.20000076,1101200,1094628,78.40000153,78.90000153,Multifamily MR (5-9),Multifamily Housing,21169,Parking,9028,Office,4345,143493,0,6116,Compliant,No Issue,489600,611601,34.5,1.4
20541,2021,MYCON'S USED CARS,NonResidential,1624049229,3711 RAINIER AVE S,SEATTLE,WA,98144,47.56979,-122.29234,SOUTHEAST,2,1963,2,1,20047,20047,0,,11.80000019,11.69999981,233737,235614,32.90000153,32.59999847,Other - Services,Other - Services,20047,NA,,NA,,68504,0,0,Compliant,No Issue,233737,0,1,0
20542,2021,THE CRESTVIEW,Multifamily LR (1-4),1624049248,3630 RENTON AVE S,SEATTLE,WA,98144,47.57086,-122.29546,SOUTHEAST,2,1968,3,1,37080,37080,0,78,30.5,30.70000076,1137452,1131889,85.5,85.90000153,Multifamily LR (1-4),Multifamily Housing,37080,NA,,NA,,333368,0,0,Compliant,No Issue,1137452,0,4.7,0.1
20543,2021,ANDOVER COURT APTS,Multifamily LR (1-4),1624049282,4000 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98108,47.56791,-122.29643,SOUTHEAST,1,2002,3,1,22108,22108,0,38,42.59999847,42.79999924,931674,927690,119.3000031,119.8000031,Multifamily LR (1-4),Multifamily Housing,21772,NA,,NA,,273058,0,0,Compliant,No Issue,931674,0,3.9,0.2
20552,2021,OLD WESTERN STEEL CASTING CO,NonResidential,1327300008,3300 1ST AVE S,SEATTLE,WA,98134,47.57403,-122.3336,GREATER DUWAMISH,2,1914,1,1,20000,20000,0,,26.39999962,26.39999962,527204,527204,73.80000305,73.80000305,Retail Store,Retail Store,20000,NA,,NA,,154514,0,0,Compliant,No Issue,527203,0,2.2,0.1
20564,2021,SWEETBRIAR APTS (MIXED USE),Multifamily LR (1-4),1794500785,2103 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63734,-122.35724,MAGNOLIA / QUEEN ANNE,1,2008,4,1,84147,52763,31384,83,35.79999924,35.79999924,1953633,1955319,88,88,Multifamily LR (1-4),Multifamily Housing,43710,Parking,30355,Strip Mall,7281,461565,0,3788,Compliant,No Issue,1574861,378772,26.6,0.5
20565,2021,SAFEWAY STORE # 368,NonResidential,1794500895,2100 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63776,-122.35606,MAGNOLIA / QUEEN ANNE,7,1962,1,1,25159,25159,0,44,281.2000122,281,7272460,7279154,601.2999878,601.9000244,Supermarket/Grocery Store,Supermarket/Grocery Store,25883,Parking,0,NA,,1330381,0,27332,Compliant,No Issue,4539260,2733200,163.9,6.5
20570,2021,EDEN HILL (NEW MIX-USE),Multifamily LR (1-4),1794501111,1925 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63678,-122.35734,MAGNOLIA / QUEEN ANNE,1,2007,4,1,83175,51203,31972,53,65.30000305,65.19999695,2881214,2885070,147.1000061,146.8000031,Multifamily LR (1-4),Parking,31108,Multifamily Housing,29143,Retail Store,13352,580258,0,9014,Compliant,No Issue,1979841,901373,56.1,1.1
20573,2021,QUEEN ANNE COMMUNITY CENTER,Nonresidential COS,1794501150,1901 1ST AVE W,SEATTLE,WA,98119,47.63629,-122.35922,MAGNOLIA / QUEEN ANNE,1,1948,1,1,27247,27247,0,,113,115,2969178,2915754,160,162.1999969,Other - Recreation,Other - Recreation,25809,NA,,NA,,179052,0,23583,Compliant,No Issue,610924,2358254,127.8,4.7
20577,2021,PARK VISTA APARTMENTS,Multifamily MR (5-9),1797501310,5810 COWEN PL NE,SEATTLE,WA,98105,47.67141,-122.31219,NORTHEAST,1,1928,5,1,58735,58735,0,94,40.90000153,40.40000153,2372080,2400818,55.40000153,54.90000153,Multifamily MR (5-9),Multifamily Housing,58735,NA,,NA,,123216,0,19517,Compliant,No Issue,420414,1951666,105.4,1.8
20585,2021,ANHALT BUILDING APARTMENTS,Multifamily LR (1-4),1806900395,1600 E JOHN ST,SEATTLE,WA,98112,47.61991,-122.31095,EAST,1,2015,3,2,29848,23293,6555,58,35.5,35.90000153,1104758,1092844,99.5,100.5999985,Multifamily LR (1-4),Multifamily Housing,30757,Parking,6610,NA,,323786,0,0,Not Compliant,Account Requires Verification,1104758,0,4.6,0.2
20586,2021,BUCKLEY APTS,Multifamily LR (1-4),1806900405,201 17TH AVE E,SEATTLE,WA,98112,47.6199,-122.31037,EAST,3,1928,3,1,34455,31455,3000,64,64.30000305,63.59999847,2000389,2021831,85.5,84.80000305,Multifamily LR (1-4),Multifamily Housing,31455,Parking,0,NA,,95103,0,16759,Compliant,No Issue,324491,1675897,90.3,2.9
20594,2021,BOYLSTON PLACE,Multifamily LR (1-4),1817800015,1816 BOYLSTON AVE,SEATTLE,WA,98122,47.61807,-122.32285,EAST,1,1990,4,1,28038,21723,6315,,,,,,,,NA,NA,,NA,,NA,,0,0,0,Not Compliant,Portfolio Manager Account Not Shared,0,0,0,0
20597,2021,LANCASTER APTS,Multifamily LR (1-4),1817800135,704 E THOMAS ST,SEATTLE,WA,98102,47.62121,-122.32292,EAST,3,1924,3,1,24939,24939,0,91,23.5,23.79999924,592474,586730,65.90000153,66.5,Multifamily LR (1-4),Multifamily Housing,24939,NA,,NA,,173644,0,0,Compliant,No Issue,592474,0,2.5,0.1
20604,2021,WAREHOUSE,NonResidential,1824049012,20 S IDAHO ST,SEATTLE,WA,98134,47.56489,-122.3409,GREATER DUWAMISH,2,1955,1,1,26680,26680,0,53,17.60000038,18,612190,597862,49.29999924,50.40000153,Distribution Center,Distribution Center,33987,NA,,NA,,179423,0,0,Not Compliant,Default Data,612191,0,2.5,0.1
20605,2021,VISKO BUILDING,NonResidential,1824049044,4229 W MARGINAL WAY SW,SEATTLE,WA,98106,47.56447,-122.35335,DELRIDGE NEIGHBORHOODS,1,1953,1,1,31521,31521,0,3,81.69999695,81.69999695,2573800,2573800,134.8999939,134.8999939,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31521,NA,,NA,,259355,0,16889,Compliant,No Issue,884919,1688881,93.4,3
20613,2021,QFC WAREHOUSE,NonResidential,1824049069,3663 1ST AVE S,SEATTLE,WA,98134,47.56982,-122.33479,GREATER DUWAMISH,2,1951,1,1,24000,24000,0,53,42.09999847,43.20000076,1037892,1010741,69.90000153,71,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,24000,NA,,NA,,102947,0,6866,Compliant,No Issue,351256,686636,37.9,1.6
20614,2021,J C WRIGHT SALES COMPANY,NonResidential,1824049070,14 S IDAHO ST,SEATTLE,WA,98134,47.56487,-122.34181,GREATER DUWAMISH,2,1952,1,1,21900,21900,0,,74.19999695,75.69999695,1658690,1625925,84.09999847,85.69999695,Self-Storage Facility,Self-Storage Facility,21900,NA,,NA,,22583,0,15816,Compliant,No Issue,77054,1581636,84.3,3.9
20620,2021,C.C. FILSON,NonResidential,1824049109,3851 1ST AVE S,SEATTLE,WA,98134,47.5678,-122.33622,GREATER DUWAMISH,2,1998,1,1,35579,35579,0,,,,,,,,Distribution Center,Distribution Center,35579,NA,,NA,,,,,Compliant,No Issue,152046,8422,0,0
20622,2021,THE NOBLE APARTMENTS,Multifamily MR (5-9),1825049006,4301 STONE WAY N,SEATTLE,WA,98103,47.65941,-122.34255,LAKE UNION,4,2012,5,1,114461,76966,37495,99,30,29.89999962,2344718,2350628,61.90000153,61.79999924,Multifamily MR (5-9),Multifamily Housing,78300,Parking,0,NA,,398009,0,9867,Compliant,No Issue,1358007,986712,58,0.8
20624,2021,PORTOFINO APARTMENTS,Multifamily MR (5-9),1825049039,3815 WOODLAND PARK AVE N,SEATTLE,WA,98103,47.65331,-122.34445,LAKE UNION,4,2008,5,1,40505,25885,14620,96,32,31.89999962,822606,824957,89.59999847,89.40000153,Multifamily MR (5-9),Multifamily Housing,25770,Parking,14545,NA,,241092,0,0,Compliant,No Issue,822606,0,3.4,0.1
20626,2021,ALASKAN COPPER AND BRASS CO,NonResidential,1327300065,3317 6TH AVE S,SEATTLE,WA,98134,47.57382,-122.32672,GREATER DUWAMISH,2,1975,1,1,49950,49950,0,46,7.599999905,7.599999905,379975,381064,21.39999962,21.29999924,Distribution Center,Distribution Center,49950,NA,,NA,,111364,0,0,Compliant,No Issue,379975,0,1.6,0
20630,2021,CANTERBURY SHORES CONDOMINIUM,Multifamily LR (1-4),1330800000,2501 CANTERBURY LN E,SEATTLE,WA,98112,47.64202,-122.28039,EAST,1,1967,4,1,118154,118154,0,88,30.60000038,30.29999924,2826196,2846359,81.59999847,81,Multifamily LR (1-4),Multifamily Housing,93154,Parking,8460,Swimming Pool,0,767325,0,2081,Compliant,No Issue,2618112,208084,21.9,0.2
20644,2021,PARKRIDGE APTS,Multifamily LR (1-4),1337800870,1210 15TH AVE E,SEATTLE,WA,98112,47.6315,-122.31221,EAST,3,1984,3,1,66885,61715,5170,78,32.59999847,32.70000076,1467905,1462287,91.19999695,91.5,Multifamily LR (1-4),Multifamily Housing,44900,Parking,5170,NA,,430218,0,0,Compliant,No Issue,1467905,0,6.1,0.1
20645,2021,STEVENS ELEMENTARY (SPS-DISTRICT),SPS-District K-12,1337801270,1242 18TH AVE E,SEATTLE,WA,98112,47.6315,-122.30761,EAST,3,2001,3,1,62078,62078,0,64,42.79999924,43.20000076,2855162,2828729,76.09999847,76.5,K-12 School,K-12 School,66146,NA,,NA,,345675,0,16757,Compliant,No Issue,1179443,1675718,93.9,1.5
20653,2021,CARBON 56,Multifamily MR (5-9),1354300000,2015 TERRY AVE,SEATTLE,WA,98121,47.6172,-122.3359,DOWNTOWN,1,2004,5,1,62665,62665,0,83,41.79999924,42.29999924,2644623,2616169,71.90000153,72.40000153,Multifamily MR (5-9),Multifamily Housing,62565,Parking,23870,NA,,293603,0,16428,Compliant,No Issue,1001775,1642848,91.4,1.5
20656,2021,HOWELL STREET APARTMENTS,Multifamily LR (1-4),1355300034,1401 E HOWELL ST,SEATTLE,WA,98122,47.61736,-122.31399,EAST,1,1987,4,1,34924,29492,5432,99,19,19.10000038,562805,559694,53.09999847,53.40000153,Multifamily LR (1-4),Multifamily Housing,29492,Parking,5432,NA,,164949,0,0,Compliant,No Issue,562805,0,2.3,0.1
20658,2021,CARLETON HOUSE CONDOMINIUM,Multifamily MR (5-9),1368300000,2565 DEXTER AVE N,SEATTLE,WA,98109,47.64364,-122.34645,MAGNOLIA / QUEEN ANNE,7,1975,5,1,62820,62820,0,90,23.79999924,24.10000038,1456102,1439893,66.59999847,67.40000153,Multifamily MR (5-9),Multifamily Housing,60500,NA,,NA,,426759,0,0,Compliant,No Issue,1456102,0,6,0.1
20659,2021,MAGNOLIA UNITED CHURCH OF CHRIST,NonResidential,1370802570,3555 W MCGRAW ST,SEATTLE,WA,98199,47.63927,-122.4032,MAGNOLIA / QUEEN ANNE,7,1947,2,1,22612,22612,0,69,33.59999847,34.59999847,782754,760218,46.20000076,47.20000076,Worship Facility,Worship Facility,22612,NA,,NA,,41177,0,6423,Compliant,No Issue,140495,642259,34.7,1.5
20667,2021,CHE SENH MINH,Multifamily LR (1-4),1389800115,2523 15TH AVE S,SEATTLE,WA,98144,47.58025,-122.31381,GREATER DUWAMISH,2,2003,4,1,27076,27076,0,86,25.5,25.5,690456,689903,71.30000305,71.40000153,Multifamily LR (1-4),Multifamily Housing,27076,NA,,NA,,202361,0,0,Compliant,No Issue,690456,0,2.9,0.1
20668,2021,CARRARA CONDOMINIUM,Multifamily MR (5-9),1400500000,123 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.61934,-122.35713,MAGNOLIA / QUEEN ANNE,7,1999,6,1,48150,48150,0,98,23.29999924,23.29999924,1121007,1123819,65.40000153,65.19999695,Multifamily MR (5-9),Multifamily Housing,48150,NA,,NA,,328548,0,0,Compliant,No Issue,1121007,0,4.6,0.1
20675,2021,CASCADE CONDOMINIUM,Multifamily MR (5-9),1421800000,2420 8TH AVE N,SEATTLE,WA,98109,47.63972,-122.34236,MAGNOLIA / QUEEN ANNE,7,1991,5,2,59227,59227,0,66,39.90000153,39.5,2342158,2365812,76.30000305,75.69999695,Multifamily MR (5-9),Multifamily Housing,59227,NA,,NA,,339131,0,11850,Compliant,No Issue,1157114,1185044,67.7,1.1
20685,2021,TOYOTA OF LAKE CITY (2013),NonResidential,1453600005,13355 LAKE CITY WAY NE,SEATTLE,WA,98125,47.72599,-122.29314,NORTH,5,1976,2,1,38787,38787,0,,90,91.09999847,3532808,3489370,191.6999969,193.1000061,Automobile Dealership,Automobile Dealership,38787,Parking,0,NA,,632817,0,13736,Compliant,No Issue,2159172,1373636,81.9,2.1
20686,2021,LAKE CITY MINI STORAGE,NonResidential,1453600301,3116 NE 130TH ST,SEATTLE,WA,98125,47.72356,-122.29378,NORTH,1,1988,2,2,34176,34176,0,,17.79999924,18.29999924,921542,899031,27.60000038,28.10000038,Self-Storage Facility,Self-Storage Facility,50369,NA,,NA,,74782,0,6664,Compliant,No Issue,255154,666388,36.4,1.1
20707,2021,MALLORY SAFETY & SUPPLY LLC,NonResidential,1722802630,5510 E MARGINAL WAY S,SEATTLE,WA,98134,47.55302,-122.33605,GREATER DUWAMISH,2,1938,1,1,30545,30545,0,27,50.20000076,51.59999847,1575896,1534692,76.59999847,78,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,23545,Office,7000,NA,,121974,0,11597,Compliant,No Issue,416174,1159722,63.3,2.1
20710,2021,QUALMAN APTS,Multifamily LR (1-4),1728800030,1421 15TH AVE,SEATTLE,WA,98122,47.61359,-122.31337,CENTRAL,3,1907,3,1,25248,25248,0,44,78.80000305,78,1970603,1990098,96.59999847,95.80000305,Multifamily LR (1-4),Multifamily Housing,25248,NA,,NA,,58678,0,17704,Compliant,No Issue,200211,1770392,94.9,3.8
20712,2021,PARAMOUNT APTS,Multifamily LR (1-4),1728800070,1521 15TH AVE,SEATTLE,WA,98122,47.6148,-122.31314,EAST,3,1910,3,1,28380,28380,0,98,24.70000076,25.10000038,711779,701214,63,64.09999847,Multifamily LR (1-4),Multifamily Housing,28380,NA,,NA,,179370,0,998,Compliant,No Issue,612011,99768,7.8,0.3
20714,2021,BANCROFT APTS,Multifamily LR (1-4),1728800115,1615 15TH AVE,SEATTLE,WA,98122,47.61577,-122.31315,EAST,3,1907,3,1,24783,24783,0,5,112.1999969,110.5999985,2741727,2781832,132.3000031,130.6000061,Multifamily LR (1-4),Multifamily Housing,24783,NA,,NA,,60082,0,25367,Compliant,No Issue,205001,2536726,135.6,5.5
20720,2021,NARADA APTS,Multifamily MR (5-9),1731800135,25 W HIGHLAND DR,SEATTLE,WA,98119,47.62942,-122.35771,MAGNOLIA / QUEEN ANNE,7,1926,5,1,40572,37767,2805,,34.09999847,34.40000153,1298146,1286352,75.59999847,76.5,Multifamily MR (5-9),Multifamily Housing,37767,Parking,2805,NA,,255792,0,4254,Compliant,No Issue,872761,425385,26.2,0.7
20724,2021,THE PARK ON HIGHLAND DRIVE,Multifamily LR (1-4),1731800560,1205 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.62982,-122.35706,MAGNOLIA / QUEEN ANNE,7,1948,3,1,26044,26044,0,80,39.40000153,39.59999847,1030444,1025077,76.80000305,77.40000153,Multifamily LR (1-4),Multifamily Housing,26044,NA,,NA,,156284,0,4972,Compliant,No Issue,533242,497202,28.6,1.1
